front_left,front_right,back_right,power,efficiency
"(14.141725540161133,17.178552627563477,0.0)","(14.14450454711914,16.178556442260742,0.0)","(16.14449691772461,16.184114456176758,0.0)",100000.0,1.0
"(-5.551444053649902,136.73211669921875,-3.814697180359872e-08)","(-5.557589530944824,137.73208618164062,-3.814697180359872e-08)","(-7.557551383972168,137.71978759765625,-3.814697180359872e-08)",100000.0,1.0
"(-112.91474151611328,-24.76193618774414,3.814697180359872e-08)","(-113.91468048095703,-24.773143768310547,3.814697180359872e-08)","(-113.89226531982422,-26.77301788330078,3.814697180359872e-08)",100000.0,1.0
"(-8.172905921936035,140.216064453125,3.814697180359872e-08)","(-8.179051399230957,141.21603393554688,3.814697180359872e-08)","(-10.1790132522583,141.2037353515625,3.814697180359872e-08)",100000.0,1.0
"(-85.93414306640625,16.97187614440918,-1.1444091541079615e-07)","(-85.93136596679688,15.971879959106445,-1.1444091541079615e-07)","(-83.93138122558594,15.977437973022461,-1.1444091541079615e-07)",100000.0,1.0
"(4.623171806335449,134.2198486328125,3.814697180359872e-08)","(4.6293182373046875,133.21987915039062,3.814697180359872e-08)","(6.629280090332031,133.232177734375,3.814697180359872e-08)",100000.0,1.0
"(99.87757873535156,-5.302343368530273,-3.814697180359872e-08)","(98.87760925292969,-5.309162139892578,-3.814697180359872e-08)","(98.89125061035156,-7.309115409851074,-3.814697180359872e-08)",100000.0,1.0
"(20.602327346801758,24.113969802856445,-3.814697180359872e-08)","(20.599550247192383,25.11396598815918,-3.814697180359872e-08)","(18.599557876586914,25.108407974243164,-3.814697180359872e-08)",100000.0,1.0
"(60.81438064575195,24.353004455566406,3.814697180359872e-08)","(60.81160354614258,25.35300064086914,3.814697180359872e-08)","(58.81161117553711,25.347442626953125,3.814697180359872e-08)",100000.0,1.0
"(-107.13835144042969,-18.079519271850586,3.814697180359872e-08)","(-106.13841247558594,-18.06831169128418,3.814697180359872e-08)","(-106.16082763671875,-16.068437576293945,3.814697180359872e-08)",100000.0,1.0
"(10.176487922668457,-63.898353576660156,3.814697180359872e-08)","(10.176079750061035,-64.89835357666016,3.814697180359872e-08)","(12.176079750061035,-64.89917755126953,3.814697180359872e-08)",100000.0,1.0
"(-51.64112091064453,-39.176551818847656,3.814697180359872e-08)","(-52.641090393066406,-39.18409729003906,3.814697180359872e-08)","(-52.625999450683594,-41.184043884277344,3.814697180359872e-08)",100000.0,1.0
"(72.63228607177734,66.85720825195312,0.0)","(72.6335678100586,65.85720825195312,0.0)","(74.6335678100586,65.85977172851562,0.0)",100000.0,1.0
"(-55.86310577392578,140.04171752929688,0.0)","(-55.86925506591797,141.04168701171875,0.0)","(-57.86921691894531,141.02938842773438,0.0)",100000.0,1.0
"(26.14165496826172,66.78197479248047,3.814697180359872e-08)","(26.142932891845703,65.78197479248047,3.814697180359872e-08)","(28.142932891845703,65.78453826904297,3.814697180359872e-08)",100000.0,1.0
"(105.52608489990234,49.86592483520508,7.629394360719743e-08)","(106.52605438232422,49.872745513916016,7.629394360719743e-08)","(106.51241302490234,51.87269973754883,7.629394360719743e-08)",100000.0,1.0
"(61.02416229248047,17.40311050415039,0.0)","(61.026939392089844,16.403114318847656,0.0)","(63.02693176269531,16.408672332763672,0.0)",100000.0,1.0
"(-69.82142639160156,129.5684814453125,3.814697180359872e-08)","(-69.5986328125,128.5936279296875,3.814697180359872e-08)","(-67.64889526367188,129.03921508789062,3.814697180359872e-08)",100000.0,1.0
