front_left,front_right,back_right,power,efficiency
"(-905.5674438476562,-1478.28125,0.0)","(-905.5636596679688,-1479.28125,0.0)","(-901.5636596679688,-1479.266357421875,0.0)",40000.0,0.95
"(-1447.863037109375,-1179.2000732421875,3.4969110629390343e-07)","(-1447.8671875,-1178.2000732421875,3.4969110629390343e-07)","(-1451.8671875,-1178.2166748046875,-3.4969110629390343e-07)",40000.0,0.95
"(-895.3075561523438,-1471.46875,3.4969110629390343e-07)","(-894.3075561523438,-1471.46875,3.4969110629390343e-07)","(-894.3075561523438,-1467.46875,-3.4969110629390343e-07)",40000.0,0.95
"(1261.040771484375,-835.550537109375,0.0)","(1261.045654296875,-834.550537109375,0.0)","(1257.045654296875,-834.5306396484375,0.0)",40000.0,0.95
"(716.939697265625,-422.50018310546875,0.0)","(716.939697265625,-421.50018310546875,0.0)","(712.939697265625,-421.50018310546875,0.0)",40000.0,0.95
"(-641.646484375,-760.9273071289062,3.4969110629390343e-07)","(-641.643310546875,-759.9273071289062,3.4969110629390343e-07)","(-645.643310546875,-759.9146118164062,-3.4969110629390343e-07)",40000.0,0.95
"(5.551896095275879,-1387.32421875,0.0)","(6.551867485046387,-1387.316650390625,0.0)","(6.521727561950684,-1383.316650390625,0.0)",40000.0,0.95
"(-26.358808517456055,482.7861022949219,25.96282386779785)","(-25.3588924407959,482.7732849121094,25.96282386779785)","(-25.307737350463867,486.7635192871094,25.68854331970215)",40000.0,0.95
"(725.6476440429688,-1596.3763427734375,3.4969110629390343e-07)","(725.6476440429688,-1595.3763427734375,3.4969110629390343e-07)","(721.6476440429688,-1595.3763427734375,-3.4969110629390343e-07)",40000.0,0.95
"(1132.468017578125,816.28125,0.0)","(1132.4677734375,815.28125,0.0)","(1136.4677734375,815.2801513671875,0.0)",40000.0,0.95
"(1471.0792236328125,676.9845581054688,0.0)","(1471.0777587890625,675.9845581054688,0.0)","(1475.0777587890625,675.9789428710938,0.0)",40000.0,0.95
"(798.7014770507812,-1446.8609619140625,0.0)","(799.7014770507812,-1446.8624267578125,0.0)","(799.7070922851562,-1442.8624267578125,0.0)",40000.0,0.95
"(331.77008056640625,544.2911376953125,0.0)","(331.78167724609375,545.291015625,0.0)","(327.78192138671875,545.33740234375,0.0)",40000.0,0.95
"(611.23583984375,-252.2717742919922,3.4969110629390343e-07)","(611.2215576171875,-253.2716827392578,3.4969110629390343e-07)","(615.22119140625,-253.32899475097656,-3.4969110629390343e-07)",40000.0,0.95
"(1247.43310546875,-1279.6453857421875,0.0)","(1246.433349609375,-1279.6260986328125,0.0)","(1246.3564453125,-1283.6253662109375,0.0)",40000.0,0.95
"(1770.681640625,-18.67087745666504,3.4969110629390343e-07)","(1770.697265625,-19.67075538635254,3.4969110629390343e-07)","(1774.69677734375,-19.60793113708496,-3.4969110629390343e-07)",40000.0,0.95
"(891.3689575195312,-74.2597885131836,3.4969110629390343e-07)","(891.3632202148438,-75.25977325439453,3.4969110629390343e-07)","(895.3630981445312,-75.28276824951172,-3.4969110629390343e-07)",40000.0,0.95
"(-1413.807373046875,81.61537170410156,3.4969110629390343e-07)","(-1412.8076171875,81.59782409667969,3.4969110629390343e-07)","(-1412.737548828125,85.59721374511719,-3.4969110629390343e-07)",40000.0,0.95
"(-938.37890625,-885.7373657226562,0.0)","(-938.3763427734375,-886.7373657226562,0.0)","(-934.3763427734375,-886.7271118164062,0.0)",40000.0,0.95
"(-749.8524780273438,-899.1673583984375,0.0)","(-750.8523559570312,-899.1845703125,0.0)","(-750.7836303710938,-903.1839599609375,0.0)",40000.0,0.95
"(-1472.3414306640625,-18.73756217956543,0.0)","(-1472.3455810546875,-19.7375545501709,0.0)","(-1468.3455810546875,-19.753725051879883,0.0)",40000.0,0.95
"(-1103.749267578125,-133.16177368164062,0.0)","(-1104.613525390625,-132.65872192382812,0.0)","(-1106.625732421875,-136.11575317382812,0.0)",40000.0,0.95
