front_left,front_right,back_right,power,efficiency
"(3.4929490089416504,-856.1961669921875,3.4969110629390343e-07)","(2.493032932281494,-856.1832275390625,3.4969110629390343e-07)","(2.4412360191345215,-860.182861328125,-3.4969110629390343e-07)",40000.0,0.95
"(-0.006757825613021851,-856.1508178710938,3.4969110629390343e-07)","(-1.0066739320755005,-856.1378784179688,3.4969110629390343e-07)","(-1.058470606803894,-860.1375122070312,-3.4969110629390343e-07)",40000.0,0.95
"(-3.5064644813537598,-856.1055297851562,3.4969110629390343e-07)","(-4.506380558013916,-856.0925903320312,3.4969110629390343e-07)","(-4.558177471160889,-860.0922241210938,-3.4969110629390343e-07)",40000.0,0.95
"(11.218042373657227,-810.5904541015625,3.0517578125e-05)","(12.218038558959961,-810.5931396484375,3.0517578125e-05)","(12.228837966918945,-806.5931396484375,3.0517578125e-05)",40000.0,0.95
"(7.71805477142334,-810.5809936523438,3.0517578125e-05)","(8.718050956726074,-810.5836791992188,3.0517578125e-05)","(8.728850364685059,-806.5836791992188,3.0517578125e-05)",40000.0,0.95
"(-8.723018646240234,-840.9255981445312,3.4969110629390343e-07)","(-8.723018646240234,-839.9255981445312,3.4969110629390343e-07)","(-12.723018646240234,-839.9255981445312,-3.4969110629390343e-07)",40000.0,0.95
"(-8.723018646240234,-837.4255981445312,3.4969110629390343e-07)","(-8.723018646240234,-836.4255981445312,3.4969110629390343e-07)","(-12.723018646240234,-836.4255981445312,-3.4969110629390343e-07)",40000.0,0.95
"(-8.723017692565918,-831.9255981445312,3.4969110629390343e-07)","(-8.723017692565918,-830.9255981445312,3.4969110629390343e-07)","(-12.723017692565918,-830.9255981445312,-3.4969110629390343e-07)",40000.0,0.95
"(-8.723017692565918,-828.4255981445312,3.4969110629390343e-07)","(-8.723017692565918,-827.4255981445312,3.4969110629390343e-07)","(-12.723017692565918,-827.4255981445312,-3.4969110629390343e-07)",40000.0,0.95
"(20.441192626953125,-830.011474609375,3.4969110629390343e-07)","(20.428874969482422,-831.0113525390625,3.4969110629390343e-07)","(24.428569793701172,-831.0606689453125,-3.4969110629390343e-07)",40000.0,0.95
"(20.354957580566406,-837.0109252929688,3.4969110629390343e-07)","(20.342639923095703,-838.0108032226562,3.4969110629390343e-07)","(24.342334747314453,-838.0601196289062,-3.4969110629390343e-07)",40000.0,0.95
"(20.31184196472168,-840.5106811523438,3.4969110629390343e-07)","(20.299524307250977,-841.5105590820312,3.4969110629390343e-07)","(24.299219131469727,-841.5598754882812,-3.4969110629390343e-07)",40000.0,0.95
