front_left,front_right,back_right,power,efficiency
"(41.04231262207031,53.58794403076172,1.7484555314695172e-07)","(40.042396545410156,53.601051330566406,1.7484555314695172e-07)","(40.01618194580078,51.601226806640625,-1.7484555314695172e-07)",100000.0,0.95
"(57.981632232666016,66.82268524169922,0.0)","(57.982913970947266,65.82268524169922,0.0)","(59.982913970947266,65.82524871826172,0.0)",100000.0,0.95
"(28.138458251953125,69.28453826904297,1.7484555314695172e-07)","(28.13718032836914,70.28453826904297,1.7484555314695172e-07)","(26.13718032836914,70.28197479248047,-1.7484555314695172e-07)",100000.0,0.95
"(43.384796142578125,41.55620193481445,0.0)","(44.38471221923828,41.543094635009766,0.0)","(44.410926818847656,43.54291915893555,0.0)",100000.0,0.95
"(27.275150299072266,27.75981903076172,0.0)","(27.27237319946289,28.759815216064453,0.0)","(25.272380828857422,28.754257202148438,0.0)",100000.0,0.95
"(27.284875869750977,24.25983238220215,0.0)","(27.2820987701416,25.259828567504883,0.0)","(25.282106399536133,25.254270553588867,0.0)",100000.0,0.95
"(56.4342155456543,17.340797424316406,1.7484555314695172e-07)","(56.43699264526367,16.340801239013672,1.7484555314695172e-07)","(58.43698501586914,16.346359252929688,-1.7484555314695172e-07)",100000.0,0.95
"(56.44394302368164,13.840811729431152,1.7484555314695172e-07)","(56.446720123291016,12.840815544128418,1.7484555314695172e-07)","(58.446712493896484,12.8463716506958,-1.7484555314695172e-07)",100000.0,0.95
"(-104.23059844970703,43.6831169128418,0.0)","(-103.23065948486328,43.6943244934082,0.0)","(-103.2530746459961,45.6942024230957,0.0)",100000.0,0.95
"(-107.73037719726562,43.64388656616211,0.0)","(-106.73043823242188,43.655094146728516,0.0)","(-106.75285339355469,45.654972076416016,0.0)",100000.0,0.95
"(-109.72694396972656,-1.2813124656677246,1.7484555314695172e-07)","(-110.72688293457031,-1.2925212383270264,1.7484555314695172e-07)","(-110.7044677734375,-3.29239559173584,-1.7484555314695172e-07)",100000.0,0.95
"(-113.22672271728516,-1.3205435276031494,1.7484555314695172e-07)","(-114.2266616821289,-1.3317523002624512,1.7484555314695172e-07)","(-114.2042465209961,-3.3316268920898438,-1.7484555314695172e-07)",100000.0,0.95
"(-89.65522003173828,16.934885025024414,1.7484555314695172e-07)","(-89.6524429321289,15.93488883972168,1.7484555314695172e-07)","(-87.65245819091797,15.940445899963379,-1.7484555314695172e-07)",100000.0,0.95
"(-89.64549255371094,13.43489933013916,1.7484555314695172e-07)","(-89.64271545410156,12.434903144836426,1.7484555314695172e-07)","(-87.64273071289062,12.440459251403809,-1.7484555314695172e-07)",100000.0,0.95
"(-29.15026092529297,130.5318603515625,0.0)","(-29.144115447998047,129.53189086914062,0.0)","(-27.144153594970703,129.544189453125,0.0)",100000.0,0.95
"(-29.171770095825195,134.0317840576172,0.0)","(-29.165624618530273,133.0318145751953,0.0)","(-27.16566276550293,133.0441131591797,0.0)",100000.0,0.95
"(-70.96317291259766,135.46231079101562,1.7484555314695172e-07)","(-71.18596649169922,136.43716430664062,1.7484555314695172e-07)","(-73.13570404052734,135.9915771484375,-1.7484555314695172e-07)",100000.0,0.95
"(-71.74293518066406,138.8743438720703,1.7484555314695172e-07)","(-71.96572875976562,139.8491973876953,1.7484555314695172e-07)","(-73.91546630859375,139.4036102294922,-1.7484555314695172e-07)",100000.0,0.95
"(-47.98017120361328,115.96357727050781,1.7484555314695172e-07)","(-48.98016357421875,115.96638488769531,1.7484555314695172e-07)","(-48.98579406738281,113.96640014648438,-1.7484555314695172e-07)",100000.0,0.95
"(-51.480159759521484,115.97342681884766,1.7484555314695172e-07)","(-52.48015213012695,115.97623443603516,1.7484555314695172e-07)","(-52.485782623291016,113.97624969482422,-1.7484555314695172e-07)",100000.0,0.95
"(109.0846176147461,41.29001998901367,0.0)","(110.08458709716797,41.29684066772461,0.0)","(110.0709457397461,43.29679489135742,0.0)",100000.0,0.95
"(105.58470153808594,41.266151428222656,0.0)","(106.58467102050781,41.272972106933594,0.0)","(106.57102966308594,43.272926330566406,0.0)",100000.0,0.95
"(103.38972473144531,-3.4698591232299805,1.7484555314695172e-07)","(102.38975524902344,-3.4766788482666016,1.7484555314695172e-07)","(102.40339660644531,-5.476632118225098,-1.7484555314695172e-07)",100000.0,0.95
"(99.88980865478516,-3.4937281608581543,1.7484555314695172e-07)","(98.88983917236328,-3.5005478858947754,1.7484555314695172e-07)","(98.90348052978516,-5.5005011558532715,-1.7484555314695172e-07)",100000.0,0.95
"(83.4049301147461,27.9157772064209,0.0)","(83.40215301513672,28.915773391723633,0.0)","(81.40216827392578,28.910215377807617,0.0)",100000.0,0.95
"(83.41465759277344,24.415790557861328,0.0)","(83.41188049316406,25.415786743164062,0.0)","(81.41189575195312,25.410228729248047,0.0)",100000.0,0.95
"(-66.58946228027344,-58.687889099121094,0.0)","(-66.59988403320312,-57.68794250488281,0.0)","(-68.59977722167969,-57.708770751953125,0.0)",100000.0,0.95
"(-66.55300903320312,-62.18769836425781,0.0)","(-66.56343078613281,-61.18775177001953,0.0)","(-68.56332397460938,-61.208580017089844,0.0)",100000.0,0.95
"(-28.76902961730957,-64.29430389404297,1.7484555314695172e-07)","(-28.758615493774414,-65.29424285888672,1.7484555314695172e-07)","(-26.75872230529785,-65.2734146118164,-1.7484555314695172e-07)",100000.0,0.95
"(-28.73257827758789,-67.79411315917969,1.7484555314695172e-07)","(-28.722164154052734,-68.79405212402344,1.7484555314695172e-07)","(-26.722270965576172,-68.77322387695312,-1.7484555314695172e-07)",100000.0,0.95
"(-45.63523864746094,-44.33123016357422,1.7484555314695172e-07)","(-44.63526916503906,-44.32368469238281,1.7484555314695172e-07)","(-44.650360107421875,-42.32373809814453,-1.7484555314695172e-07)",100000.0,0.95
"(-42.135337829589844,-44.3048210144043,1.7484555314695172e-07)","(-41.13536834716797,-44.29727554321289,1.7484555314695172e-07)","(-41.15045928955078,-42.29732894897461,-1.7484555314695172e-07)",100000.0,0.95
"(108.80091857910156,82.88905334472656,0.0)","(109.80088806152344,82.8958740234375,0.0)","(109.78724670410156,84.89582824707031,0.0)",100000.0,0.95
"(105.3010025024414,82.86518096923828,0.0)","(106.30097198486328,82.87200164794922,0.0)","(106.2873306274414,84.87195587158203,0.0)",100000.0,0.95
"(102.99608612060547,54.24879837036133,1.7484555314695172e-07)","(101.9961166381836,54.24197769165039,1.7484555314695172e-07)","(102.00975799560547,52.24202346801758,-1.7484555314695172e-07)",100000.0,0.95
"(99.49617004394531,54.22492980957031,1.7484555314695172e-07)","(98.49620056152344,54.218109130859375,1.7484555314695172e-07)","(98.50984191894531,52.21815490722656,-1.7484555314695172e-07)",100000.0,0.95
"(86.9784164428711,69.35977172851562,1.7484555314695172e-07)","(86.97713470458984,70.35977172851562,1.7484555314695172e-07)","(84.97713470458984,70.35720825195312,-1.7484555314695172e-07)",100000.0,0.95
"(-42.18910598754883,41.70698928833008,0.0)","(-41.18911361694336,41.70417404174805,0.0)","(-41.1834831237793,43.704166412353516,0.0)",100000.0,0.95
"(-45.68909454345703,41.71683883666992,0.0)","(-44.68910217285156,41.71402359008789,0.0)","(-44.6834716796875,43.71401596069336,0.0)",100000.0,0.95
"(-48.30842590332031,-0.685956597328186,1.7484555314695172e-07)","(-49.30841827392578,-0.6831425428390503,1.7484555314695172e-07)","(-49.314048767089844,-2.6831345558166504,-1.7484555314695172e-07)",100000.0,0.95
"(-51.808414459228516,-0.6761072874069214,1.7484555314695172e-07)","(-52.808406829833984,-0.6732932329177856,1.7484555314695172e-07)","(-52.81403732299805,-2.673285484313965,-1.7484555314695172e-07)",100000.0,0.95
