front_left,front_right,back_right,power,efficiency
"(24.400,812.846,0.0)","(24.401,811.846,0.0)","(28.401,811.851,0.0)",100000.0,0.95
"(28.400,812.851,0.0)","(28.401,811.851,0.0)","(32.401,811.855,0.0)",100000.0,0.95
"(32.400,812.855,0.0)","(32.401,811.855,0.0)","(36.401,811.860,0.0)",100000.0,0.95
"(36.400,812.860,0.0)","(36.401,811.860,0.0)","(40.401,811.864,0.0)",100000.0,0.95
"(40.400,812.864,0.0)","(40.401,811.864,0.0)","(44.401,811.869,0.0)",100000.0,0.95
"(44.400,812.869,0.0)","(44.401,811.869,0.0)","(48.401,811.873,0.0)",100000.0,0.95
"(48.400,812.873,0.0)","(48.401,811.873,0.0)","(52.401,811.878,0.0)",100000.0,0.95
"(52.400,812.878,0.0)","(52.401,811.878,0.0)","(56.401,811.882,0.0)",100000.0,0.95
"(56.400,812.882,0.0)","(56.401,811.882,0.0)","(60.401,811.887,0.0)",100000.0,0.95
"(60.400,812.887,0.0)","(60.401,811.887,0.0)","(64.401,811.891,0.0)",100000.0,0.95
"(64.400,812.891,0.0)","(64.401,811.891,0.0)","(68.401,811.896,0.0)",100000.0,0.95
"(68.400,812.896,0.0)","(68.401,811.896,0.0)","(72.401,811.900,0.0)",100000.0,0.95
"(72.400,812.900,0.0)","(72.401,811.900,0.0)","(76.401,811.905,0.0)",100000.0,0.95
"(76.400,812.905,0.0)","(76.401,811.905,0.0)","(80.401,811.909,0.0)",100000.0,0.95
"(80.400,812.909,0.0)","(80.401,811.909,0.0)","(84.401,811.914,0.0)",100000.0,0.95
"(84.400,812.914,0.0)","(84.401,811.914,0.0)","(88.401,811.918,0.0)",100000.0,0.95
"(88.400,812.918,0.0)","(88.401,811.918,0.0)","(92.401,811.923,0.0)",100000.0,0.95
"(92.400,812.923,0.0)","(92.401,811.923,0.0)","(96.401,811.927,0.0)",100000.0,0.95
"(96.400,812.927,0.0)","(96.401,811.927,0.0)","(100.401,811.932,0.0)",100000.0,0.95
"(100.400,812.932,0.0)","(100.401,811.932,0.0)","(104.401,811.936,0.0)",100000.0,0.95
"(104.400,812.936,0.0)","(104.401,811.936,0.0)","(108.401,811.941,0.0)",100000.0,0.95
"(108.400,812.941,0.0)","(108.401,811.941,0.0)","(112.401,811.945,0.0)",100000.0,0.95
"(112.400,812.945,0.0)","(112.401,811.945,0.0)","(116.401,811.950,0.0)",100000.0,0.95
"(116.400,812.950,0.0)","(116.401,811.950,0.0)","(120.401,811.954,0.0)",100000.0,0.95
"(120.400,812.954,0.0)","(120.401,811.954,0.0)","(124.401,811.959,0.0)",100000.0,0.95
"(124.400,812.959,0.0)","(124.401,811.959,0.0)","(128.401,811.963,0.0)",100000.0,0.95
"(128.400,812.963,0.0)","(128.401,811.963,0.0)","(132.401,811.968,0.0)",100000.0,0.95
"(132.400,812.968,0.0)","(132.401,811.968,0.0)","(136.401,811.972,0.0)",100000.0,0.95
"(136.400,812.972,0.0)","(136.401,811.972,0.0)","(140.401,811.977,0.0)",100000.0,0.95
"(140.400,812.977,0.0)","(140.401,811.977,0.0)","(144.401,811.981,0.0)",100000.0,0.95
"(144.400,812.981,0.0)","(144.401,811.981,0.0)","(148.401,811.986,0.0)",100000.0,0.95
"(148.400,812.986,0.0)","(148.401,811.986,0.0)","(152.401,811.990,0.0)",100000.0,0.95
"(152.400,812.990,0.0)","(152.401,811.990,0.0)","(156.401,811.995,0.0)",100000.0,0.95
"(156.400,812.995,0.0)","(156.401,811.995,0.0)","(160.401,811.999,0.0)",100000.0,0.95
"(160.400,812.999,0.0)","(160.401,811.999,0.0)","(164.401,812.004,0.0)",100000.0,0.95
"(164.400,813.004,0.0)","(164.401,812.004,0.0)","(168.401,812.008,0.0)",100000.0,0.95
"(168.400,813.008,0.0)","(168.401,812.008,0.0)","(172.401,812.013,0.0)",100000.0,0.95
"(172.400,813.013,0.0)","(172.401,812.013,0.0)","(176.401,812.017,0.0)",100000.0,0.95
"(176.400,813.017,0.0)","(176.401,812.017,0.0)","(180.401,812.022,0.0)",100000.0,0.95
"(180.400,813.022,0.0)","(180.401,812.022,0.0)","(184.401,812.026,0.0)",100000.0,0.95
"(184.400,813.026,0.0)","(184.401,812.026,0.0)","(188.401,812.031,0.0)",100000.0,0.95
"(188.400,813.031,0.0)","(188.401,812.031,0.0)","(192.401,812.035,0.0)",100000.0,0.95
"(192.400,813.035,0.0)","(192.401,812.035,0.0)","(196.401,812.040,0.0)",100000.0,0.95
"(196.400,813.040,0.0)","(196.401,812.040,0.0)","(200.401,812.044,0.0)",100000.0,0.95
"(200.400,813.044,0.0)","(200.401,812.044,0.0)","(204.401,812.049,0.0)",100000.0,0.95
"(204.400,813.049,0.0)","(204.401,812.049,0.0)","(208.401,812.053,0.0)",100000.0,0.95
"(208.400,813.053,0.0)","(208.401,812.053,0.0)","(212.401,812.058,0.0)",100000.0,0.95
"(212.400,813.058,0.0)","(212.401,812.058,0.0)","(216.401,812.062,0.0)",100000.0,0.95
"(216.400,813.062,0.0)","(216.401,812.062,0.0)","(220.401,812.067,0.0)",100000.0,0.95
"(220.400,813.067,0.0)","(220.401,812.067,0.0)","(224.401,812.071,0.0)",100000.0,0.95
"(224.400,813.072,0.0)","(224.401,812.072,0.0)","(228.401,812.075,0.0)",100000.0,0.95


"(241.13421630859375,807.5694580078125,0.0)","(240.13427734375,807.5792236328125,0.0)","(240.09506225585938,803.5794677734375,0.0)",100000.0,0.95
"(241.09500122070312,803.5697021484375,0.0)","(240.09506225585938,803.5794677734375,0.0)","(240.05584716796875,799.5797119140625,0.0)",100000.0,0.95
"(241.0557861328125,799.5699462890625,0.0)","(240.05584716796875,799.5797119140625,0.0)","(240.01663208007812,795.5799560546875,0.0)",100000.0,0.95
"(241.01657104492188,795.5701904296875,0.0)","(240.01663208007812,795.5799560546875,0.0)","(239.9774169921875,791.5802001953125,0.0)",100000.0,0.95
